cnt,pos,speed,DTorque,STorque,Force,,,,
2220,11.9539,-0.003,7,0,3,1.171875,37.5,392,79
2221,11.9539,0.003,6,0,2,0.78125,37.5,393,79
2222,11.9539,-0.0152,6,0,2,0.78125,37.5,394,79
2223,11.9539,-0.0061,7,0,3,1.171875,37.109375,395,80
2224,11.9539,0.003,7,0,3,1.171875,37.109375,396,80
2225,11.9539,-0.0091,7,0,3,1.171875,37.5,397,80
2226,11.9539,-0.0061,6,0,2,0.78125,37.5,398,80
2227,11.9539,0.003,7,0,3,1.171875,37.890625,399,80
2228,11.9539,-0.003,6,0,2,0.78125,37.890625,400,81
2229,11.9539,-0.003,6,0,2,0.78125,37.5,401,81
2230,11.9539,-0.003,6,0,2,0.78125,37.890625,402,81
2231,11.9539,0.0061,7,0,3,1.171875,37.890625,403,81
2232,11.9539,0.0091,6,0,2,0.78125,37.890625,404,81
2233,11.9539,-0.0091,7,0,3,1.171875,37.890625,405,82
2234,11.9539,0.003,6,0,2,0.78125,37.109375,406,82
2235,11.9539,0,6,0,2,0.78125,37.5,407,82
2236,11.9539,-0.0061,6,0,2,0.78125,37.5,408,82
2237,11.9539,0.003,6,0,2,0.78125,37.5,409,82
2238,11.9539,0.003,6,0,2,0.78125,37.5,410,83
2239,11.9539,0,6,0,2,0.78125,37.109375,411,83
2240,11.9539,0,6,0,2,0.78125,37.5,412,83
2241,11.9539,0.0061,6,0,2,0.78125,37.5,413,83
2242,11.9539,0.0061,6,0,2,0.78125,37.890625,414,83
2243,11.9539,-0.003,6,0,2,0.78125,37.5,415,84
2244,11.9539,-0.0122,6,0,2,0.78125,37.5,416,84
2245,11.9539,-0.003,6,0,2,0.78125,37.890625,417,84
2246,11.9539,0.0061,6,0,2,0.78125,38.28125,418,84
2247,11.9539,0.003,6,0,2,0.78125,37.890625,419,84
2248,11.9539,-0.0061,6,0,2,0.78125,37.890625,420,85
2249,11.9539,-0.003,6,0,2,0.78125,38.28125,421,85
2250,11.9539,0,6,0,2,0.78125,38.28125,422,85
2251,11.9539,0.0122,6,0,2,0.78125,38.671875,423,85
