cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
381,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
382,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
383,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
384,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
385,106.13,-0,2.1572,0,0,0,0,0,0,0,0,0
386,106.128,-0,0,0,0,0,0,0,0,0,0,0
387,106.13,-0,0,0,0,0,0,0,0,0,0,0
388,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
389,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
390,106.128,-0,0,0,0,0,0,0,0,0,0,0
391,106.128,-0,0,0,-1,0,0,0,0,0,0,0
392,106.128,-0,0,0,0,0,0,0,0,0,0,0
393,106.128,-0,-2.1572,0,-1,0,0,0,0,0,0,0
394,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
395,106.128,-0,2.1572,0,1,0,0,0,0,0,0,0
396,106.126,-0,0,0,0,0,0,0,0,0,0,0
397,106.128,-0,0,0,0,0,0,0,0,0,0,0
398,106.128,-0,0,0,0,0,0,0,0,0,0,0
399,106.13,-0,0,0,0,0,0,0,0,0,0,0
400,106.13,-0,0,0,0,0,0,0,0,0,0,0
401,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
402,106.128,-0,0,0,0,0,0,0,0,0,0,0
403,106.128,-0,0,0,0,0,0,0,0,0,0,0
404,106.128,-0,0,0,0,0,0,0,0,0,0,0
405,106.128,-0,0,0,0,0,0,0,0,0,0,0
406,106.128,-0,0,0,0,0,0,0,0,0,0,0
407,106.126,-0,0,0,0,0,0,0,0,0,0,0
408,106.13,-0,2.1572,0,-1,0,0,0,0,0,0,0
409,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
410,106.13,-0,-2.1572,0,0,0,0,0,0,0,0,0
411,106.13,-0,2.1572,0,0,0,0,0,0,0,0,0
412,106.13,-0,2.1572,0,0,0,0,0,0,0,0,0
413,106.13,-0,-2.1572,0,0,0,0,0,0,0,0,0
414,106.13,-0,-2.1572,0,-1,0,0,0,0,0,0,0
415,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
416,106.132,-0,2.1572,0,-1,0,0,0,0,0,0,0
417,106.13,-0,2.1572,0,0,0,0,0,0,0,0,0
418,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
419,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
420,106.128,-0,0,0,0,0,0,0,0,0,0,0
421,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
422,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
423,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
