cnt,pos,speed,DTorque,Force,Dir
4269,48.47,-12.26,1.00,0,0.18,0
4270,48.48,-12.79,1.00,0,0.18,0
4271,48.50,-13.43,1.00,0,0.18,0
4272,48.51,-14.05,1.00,0,0.18,0
4273,48.52,-14.58,1.00,0,0.18,0
4274,48.54,-15.29,1.00,0,0.18,0
4275,48.55,-15.66,1.00,0,0.18,0
4276,48.57,-16.31,1.00,0,0.18,0
4277,48.59,-16.90,1.00,0,0.18,0
4278,48.61,-17.30,1.00,0,0.18,0
4279,48.62,-17.91,1.00,0,0.18,0
4280,48.64,-18.52,1.00,0,0.18,0
4281,48.66,-18.83,1.00,0,0.18,0
4282,48.68,-19.47,1.00,0,0.18,0
4283,48.70,-19.96,1.00,0,0.18,0
4284,48.72,-20.65,1.00,0,0.18,0
4285,48.74,-21.22,1.00,0,0.18,0
4286,48.76,-21.67,1.00,0,0.18,0
4287,48.79,-22.20,1.00,0,0.18,0
4288,48.81,-22.83,0.00,0,0.00,0
4289,48.83,-23.39,0.00,0,0.00,0
4290,48.86,-23.95,0.00,0,0.00,0
4291,48.88,-24.49,0.00,0,0.00,0
4292,48.91,-25.00,0.00,0,0.00,0
4293,48.93,-25.49,0.00,0,0.00,0
4294,48.96,-25.97,0.00,0,0.00,0
4295,48.98,-26.45,0.00,0,0.00,0
4296,49.01,-26.93,1.00,0,0.18,0
4297,49.04,-27.45,1.00,0,0.18,0
4298,49.07,-27.93,1.00,0,0.18,0
4299,49.09,-28.19,1.00,0,0.18,0
4300,49.12,-28.79,1.00,0,0.18,0
4301,49.15,-29.32,0.00,0,0.00,0
4302,49.18,-29.83,0.00,0,0.00,0
4303,49.21,-30.38,0.00,0,0.00,0
4304,49.24,-30.69,2.00,0,0.35,0
4305,49.27,-31.22,17.00,0,2.99,0
4306,49.31,-31.43,42.00,0,7.39,0
4307,49.34,-30.84,67.00,0,11.79,0
4308,49.37,-29.70,87.00,0,15.31,0
4309,49.39,-27.96,103.00,0,18.13,0
4310,49.42,-26.12,115.00,0,20.24,0
4311,49.44,-23.86,124.00,0,21.82,0
4312,49.47,-21.55,132.00,0,23.23,0
4313,49.48,-18.70,139.00,0,24.46,0
4314,49.50,-15.90,144.00,0,25.34,0
4315,49.51,-13.23,149.00,0,26.22,0
4316,49.52,-9.85,152.00,0,26.75,0
4317,49.53,-7.07,155.00,0,27.28,0
4318,49.53,-3.93,158.00,0,27.81,0
4319,49.54,-0.83,160.00,0,28.16,0
4320,49.53,2.20,162.00,0,28.51,0
4321,49.53,4.83,164.00,0,28.86,0
4322,49.52,7.14,165.00,0,29.04,0
4323,49.51,9.33,165.00,0,29.04,0
4324,49.50,11.79,166.00,0,29.22,0
4325,49.49,13.60,167.00,0,29.39,0
4326,49.45,17.99,168.00,0,29.74,0
4327,49.41,21.79,169.00,0,29.74,0
4328,49.39,23.65,170.00,0,29.92,0
4329,49.36,25.47,170.00,0,29.92,0
4330,49.33,27.29,170.00,0,29.92,0
4331,49.31,28.97,170.00,0,29.92,0
4332,49.27,30.71,170.00,0,29.92,0
4333,49.24,32.28,170.00,0,29.92,0
4334,49.21,34.06,170.00,0,29.92,0
4335,49.17,35.79,169.00,0,29.74,0
4336,49.13,39.10,170.00,0,29.92,0
4337,49.06,40.72,170.00,0,29.92,0
